Types,price,ranking,souvenir,address,url
餅乾類,617,23,スイーツハートツリー「いちごのシャリーメイト」,東京スカイツリー　東京ソラマチ 2F,http://terraconfect.tokyo/fromageterra/
餅乾類,2160,22,BABBI 銀座松屋　「グランワッフェリーニ セット」,銀座駅　松屋銀座 B1F,http://www.babbi.co.jp
小蛋糕類,486,21,TAICHIRO MORINAGA「キャラメルラスク」,新宿駅　NEWoman（ニュウマン）エキナカ 2F,http://www.morinaga.co.jp/taichiro/
小蛋糕類,778,20,フレデリック・カッセル銀座三越「ミルフイユ・ヴァニーユ」,銀座駅　銀座三越 B2F,http://www.frederic-cassel.jp/specialite/
果乾類,378,19,かきたねキッチン「キューブ」,品川駅　エキュート品川サウス 1F,http://www.frederic-cassel.jp/specialite/
點心類,216,18,BAKE「チーズタルト」,新宿駅　ルミネエスト 1F,https://cheesetart.com
果乾類,380,17,麻布十番 杵屋「揚げパスタ」,新宿駅　NEWoman（ニュウマン）エキナカ,http://www.a-kineya.co.jp/products/agepasta.html
夾心餅乾類,240,16,La Famille「シフォンケーキ」,池袋駅周辺　東京都豊島区西池袋3-4-6 今村ビル1F,http://www.ikesen.net/cafe/La%20Famille/index.html
夾心餅乾類,1080,15,ミルフィユメゾン フランセ「ミルフィユスペシャリテ」,銀座駅　松屋銀座B1F,http://millefeuillemaison.jp
點心類,330,14,仁々木「苺大福」,新宿駅　NEWoman（ニュウマン）エキナカ 2F,http://millefeuillemaison.jp
點心類,324,13,La Terre saison（ラ テール セゾン）「大地のプリン“ウ・オ・レ”」,渋谷駅　東急フードショー B1F,https://www.laterre.com/patisserie/
點心類,1296,12,アンリ・シャルパンティエ「Wチーズケーキ」,渋谷駅　渋谷マークシティ B1F,http://www.henri-charpentier.com/products/cake/452/
麵包類,399,11,RINGO「焼きたてカスタードアップルパイ」,池袋駅周辺　東京都豊島区南池袋1-28-2,https://ringo-applepie.com
果乾類,340,10,日本橋錦豊琳「かりんとう」,東京駅　グランスタ B1F,https://ringo-applepie.com
麵包類,1080,9,キィニョン「スコーン」,上野駅　エキュート上野 3F,https://ringo-applepie.com
麵包類,210,8,八天堂「くりーむパン」,品川駅　エキュート品川サウス 1F,https://ringo-applepie.com
點心類,1000,7,プレスバターサンド「バターサンド」,東京駅構内南通路,https://ringo-applepie.com
夾心餅乾類,540,6,N.Y.キャラメルサンド「N.Y.C.SAND（ニューヨークシティサンド）」,羽田空港 第1旅客ターミナル2F　東京食賓館[Eゲート前],https://ringo-applepie.com
